+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| CUUR0000SA0 | 2012 |  M12   | 229.601 |           |
| CUUR0000SA0 | 2012 |  M11   | 230.221 |           |
| CUUR0000SA0 | 2012 |  M10   | 231.317 |           |
| CUUR0000SA0 | 2012 |  M09   | 231.407 |           |
| CUUR0000SA0 | 2012 |  M08   | 230.379 |           |
| CUUR0000SA0 | 2012 |  M07   | 229.104 |           |
| CUUR0000SA0 | 2012 |  M06   | 229.478 |           |
| CUUR0000SA0 | 2012 |  M05   | 229.815 |           |
| CUUR0000SA0 | 2012 |  M04   | 230.085 |           |
| CUUR0000SA0 | 2012 |  M03   | 229.392 |           |
| CUUR0000SA0 | 2012 |  M02   | 227.663 |           |
| CUUR0000SA0 | 2012 |  M01   | 226.665 |           |
| CUUR0000SA0 | 2011 |  M12   | 225.672 |           |
| CUUR0000SA0 | 2011 |  M11   | 226.230 |           |
| CUUR0000SA0 | 2011 |  M10   | 226.421 |           |
| CUUR0000SA0 | 2011 |  M09   | 226.889 |           |
| CUUR0000SA0 | 2011 |  M08   | 226.545 |           |
| CUUR0000SA0 | 2011 |  M07   | 225.922 |           |
| CUUR0000SA0 | 2011 |  M06   | 225.722 |           |
| CUUR0000SA0 | 2011 |  M05   | 225.964 |           |
| CUUR0000SA0 | 2011 |  M04   | 224.906 |           |
| CUUR0000SA0 | 2011 |  M03   | 223.467 |           |
| CUUR0000SA0 | 2011 |  M02   | 221.309 |           |
| CUUR0000SA0 | 2011 |  M01   | 220.223 |           |
| CUUR0000SA0 | 2010 |  M12   | 219.179 |           |
| CUUR0000SA0 | 2010 |  M11   | 218.803 |           |
| CUUR0000SA0 | 2010 |  M10   | 218.711 |           |
| CUUR0000SA0 | 2010 |  M09   | 218.439 |           |
| CUUR0000SA0 | 2010 |  M08   | 218.312 |           |
| CUUR0000SA0 | 2010 |  M07   | 218.011 |           |
| CUUR0000SA0 | 2010 |  M06   | 217.965 |           |
| CUUR0000SA0 | 2010 |  M05   | 218.178 |           |
| CUUR0000SA0 | 2010 |  M04   | 218.009 |           |
| CUUR0000SA0 | 2010 |  M03   | 217.631 |           |
| CUUR0000SA0 | 2010 |  M02   | 216.741 |           |
| CUUR0000SA0 | 2010 |  M01   | 216.687 |           |
| CUUR0000SA0 | 2009 |  M12   | 215.949 |           |
| CUUR0000SA0 | 2009 |  M11   | 216.330 |           |
| CUUR0000SA0 | 2009 |  M10   | 216.177 |           |
| CUUR0000SA0 | 2009 |  M09   | 215.969 |           |
| CUUR0000SA0 | 2009 |  M08   | 215.834 |           |
| CUUR0000SA0 | 2009 |  M07   | 215.351 |           |
| CUUR0000SA0 | 2009 |  M06   | 215.693 |           |
| CUUR0000SA0 | 2009 |  M05   | 213.856 |           |
| CUUR0000SA0 | 2009 |  M04   | 213.240 |           |
| CUUR0000SA0 | 2009 |  M03   | 212.709 |           |
| CUUR0000SA0 | 2009 |  M02   | 212.193 |           |
| CUUR0000SA0 | 2009 |  M01   | 211.143 |           |
| CUUR0000SA0 | 2008 |  M12   | 210.228 |           |
| CUUR0000SA0 | 2008 |  M11   | 212.425 |           |
| CUUR0000SA0 | 2008 |  M10   | 216.573 |           |
| CUUR0000SA0 | 2008 |  M09   | 218.783 |           |
| CUUR0000SA0 | 2008 |  M08   | 219.086 |           |
| CUUR0000SA0 | 2008 |  M07   | 219.964 |           |
| CUUR0000SA0 | 2008 |  M06   | 218.815 |           |
| CUUR0000SA0 | 2008 |  M05   | 216.632 |           |
| CUUR0000SA0 | 2008 |  M04   | 214.823 |           |
| CUUR0000SA0 | 2008 |  M03   | 213.528 |           |
| CUUR0000SA0 | 2008 |  M02   | 211.693 |           |
| CUUR0000SA0 | 2008 |  M01   | 211.080 |           |
| CUUR0000SA0 | 2007 |  M12   | 210.036 |           |
| CUUR0000SA0 | 2007 |  M11   | 210.177 |           |
| CUUR0000SA0 | 2007 |  M10   | 208.936 |           |
| CUUR0000SA0 | 2007 |  M09   | 208.490 |           |
| CUUR0000SA0 | 2007 |  M08   | 207.917 |           |
| CUUR0000SA0 | 2007 |  M07   | 208.299 |           |
| CUUR0000SA0 | 2007 |  M06   | 208.352 |           |
| CUUR0000SA0 | 2007 |  M05   | 207.949 |           |
| CUUR0000SA0 | 2007 |  M04   | 206.686 |           |
| CUUR0000SA0 | 2007 |  M03   | 205.352 |           |
| CUUR0000SA0 | 2007 |  M02   | 203.499 |           |
| CUUR0000SA0 | 2007 |  M01   | 202.416 |           |
| CUUR0000SA0 | 2006 |  M12   |  201.8  |           |
| CUUR0000SA0 | 2006 |  M11   |  201.5  |           |
| CUUR0000SA0 | 2006 |  M10   |  201.8  |           |
| CUUR0000SA0 | 2006 |  M09   |  202.9  |           |
| CUUR0000SA0 | 2006 |  M08   |  203.9  |           |
| CUUR0000SA0 | 2006 |  M07   |  203.5  |           |
| CUUR0000SA0 | 2006 |  M06   |  202.9  |           |
| CUUR0000SA0 | 2006 |  M05   |  202.5  |           |
| CUUR0000SA0 | 2006 |  M04   |  201.5  |           |
| CUUR0000SA0 | 2006 |  M03   |  199.8  |           |
| CUUR0000SA0 | 2006 |  M02   |  198.7  |           |
| CUUR0000SA0 | 2006 |  M01   |  198.3  |           |
| CUUR0000SA0 | 2005 |  M12   |  196.8  |           |
| CUUR0000SA0 | 2005 |  M11   |  197.6  |           |
| CUUR0000SA0 | 2005 |  M10   |  199.2  |           |
| CUUR0000SA0 | 2005 |  M09   |  198.8  |           |
| CUUR0000SA0 | 2005 |  M08   |  196.4  |           |
| CUUR0000SA0 | 2005 |  M07   |  195.4  |           |
| CUUR0000SA0 | 2005 |  M06   |  194.5  |           |
| CUUR0000SA0 | 2005 |  M05   |  194.4  |           |
| CUUR0000SA0 | 2005 |  M04   |  194.6  |           |
| CUUR0000SA0 | 2005 |  M03   |  193.3  |           |
| CUUR0000SA0 | 2005 |  M02   |  191.8  |           |
| CUUR0000SA0 | 2005 |  M01   |  190.7  |           |
| CUUR0000SA0 | 2004 |  M12   |  190.3  |           |
| CUUR0000SA0 | 2004 |  M11   |  191.0  |           |
| CUUR0000SA0 | 2004 |  M10   |  190.9  |           |
| CUUR0000SA0 | 2004 |  M09   |  189.9  |           |
| CUUR0000SA0 | 2004 |  M08   |  189.5  |           |
| CUUR0000SA0 | 2004 |  M07   |  189.4  |           |
| CUUR0000SA0 | 2004 |  M06   |  189.7  |           |
| CUUR0000SA0 | 2004 |  M05   |  189.1  |           |
| CUUR0000SA0 | 2004 |  M04   |  188.0  |           |
| CUUR0000SA0 | 2004 |  M03   |  187.4  |           |
| CUUR0000SA0 | 2004 |  M02   |  186.2  |           |
| CUUR0000SA0 | 2004 |  M01   |  185.2  |           |
| CUUR0000SA0 | 2003 |  M12   |  184.3  |           |
| CUUR0000SA0 | 2003 |  M11   |  184.5  |           |
| CUUR0000SA0 | 2003 |  M10   |  185.0  |           |
| CUUR0000SA0 | 2003 |  M09   |  185.2  |           |
| CUUR0000SA0 | 2003 |  M08   |  184.6  |           |
| CUUR0000SA0 | 2003 |  M07   |  183.9  |           |
| CUUR0000SA0 | 2003 |  M06   |  183.7  |           |
| CUUR0000SA0 | 2003 |  M05   |  183.5  |           |
| CUUR0000SA0 | 2003 |  M04   |  183.8  |           |
| CUUR0000SA0 | 2003 |  M03   |  184.2  |           |
| CUUR0000SA0 | 2003 |  M02   |  183.1  |           |
| CUUR0000SA0 | 2003 |  M01   |  181.7  |           |
+-------------+------+--------+---------+-----------+
