+----------------------+------+--------+-------+-----------+
|      series id       | year | period | value | footnotes |
+----------------------+------+--------+-------+-----------+
| LAUCN040010000000005 | 2012 |  M12   | 18413 |           |
| LAUCN040010000000005 | 2012 |  M11   | 18428 |           |
| LAUCN040010000000005 | 2012 |  M10   | 18730 |           |
| LAUCN040010000000005 | 2012 |  M09   | 19157 |           |
| LAUCN040010000000005 | 2012 |  M08   | 19149 |           |
| LAUCN040010000000005 | 2012 |  M07   | 19039 |           |
| LAUCN040010000000005 | 2012 |  M06   | 18777 |           |
| LAUCN040010000000005 | 2012 |  M05   | 18611 |           |
| LAUCN040010000000005 | 2012 |  M04   | 18333 |           |
| LAUCN040010000000005 | 2012 |  M03   | 18408 |           |
| LAUCN040010000000005 | 2012 |  M02   | 18253 |           |
| LAUCN040010000000005 | 2012 |  M01   | 18344 |           |
| LAUCN040010000000005 | 2011 |  M12   | 18809 |           |
| LAUCN040010000000005 | 2011 |  M11   | 18772 |           |
| LAUCN040010000000005 | 2011 |  M10   | 18832 |           |
| LAUCN040010000000005 | 2011 |  M09   | 19040 |           |
| LAUCN040010000000005 | 2011 |  M08   | 19240 |           |
| LAUCN040010000000005 | 2011 |  M07   | 18953 |           |
| LAUCN040010000000005 | 2011 |  M06   | 19000 |           |
| LAUCN040010000000005 | 2011 |  M05   | 18889 |           |
| LAUCN040010000000005 | 2011 |  M04   | 18665 |           |
| LAUCN040010000000005 | 2011 |  M03   | 18864 |           |
| LAUCN040010000000005 | 2011 |  M02   | 18741 |           |
| LAUCN040010000000005 | 2011 |  M01   | 18910 |           |
| LAUCN040010000000005 | 2010 |  M12   | 19203 |           |
| LAUCN040010000000005 | 2010 |  M11   | 19324 |           |
| LAUCN040010000000005 | 2010 |  M10   | 19479 |           |
| LAUCN040010000000005 | 2010 |  M09   | 19967 |           |
| LAUCN040010000000005 | 2010 |  M08   | 20178 |           |
| LAUCN040010000000005 | 2010 |  M07   | 19986 |           |
| LAUCN040010000000005 | 2010 |  M06   | 20308 |           |
